Query,Rank,Video,Title,Score
what is natural language processing?,5,HihwnUepmdg,Need some coding experience? Contribute to Open Source.,0.25415629148483276
what are embeddings in ai?,1,HaUe2AN210g,"Enterprise AI Tutorial – Embeddings, RAG, and Multimodal Agents Using Amazon Nova and Bedrock",0.5066938400268555
what are embeddings in ai?,2,PcbuKRNtCUc,Essential Machine Learning and AI Concepts Animated,0.48082607984542847
what are embeddings in ai?,3,zkJt9y7ixiY,AI tools can be super helpful - but they're not the answer to everything,0.47391006350517273
what are embeddings in ai?,4,aokdrllzkFQ,"To understand what AI can do, we have to first understand what it CAN'T do.",0.4552958607673645
what are embeddings in ai?,5,suuDVhYXe5Y,How Ania built a course that teaches devs to code their own AI agents,0.42789942026138306
what is semantic search?,1,ku6HZ_k9qgY,Why Algorithms Work – Algorithm Analysis Deep Dive Course,0.23765915632247925
what is semantic search?,2,NdeeSEknp58,"Relational DBMS Course – Database Concepts, Design & Querying Tutorial",0.2373678833246231
what is semantic search?,3,RwDvIaoJeAs,Why you should always negotiate - in the job search and in life,0.20132681727409363
what is semantic search?,4,H-oCV5brtU4,Intro to Fine-Tuning Large Language Models,0.1918494999408722
what is semantic search?,5,tfpGS_doPvY,Deep Learning Vision Architectures Explained – Python Course on CNNs and Vision Transformers,0.18699690699577332
what is cosine similarity?,1,9UxVhurASxU,"The ""this"" keyword can be tricky. Ania helps you sort out one of its quirks here.",0.19957315921783447
what is cosine similarity?,2,UtV8MfnuIEg,"The ""this"" keyword can be confusing in JavaScript. Do you understand how this works?",0.19483770430088043
what is cosine similarity?,3,pdleuy5lljY,Knitting and coding may not seem related - but they are,0.18692302703857422
what is cosine similarity?,4,Tbqmz0ZP8q8,"Coding and chess are similar - they're both require deep thinking, patience, and creativity",0.1768176257610321
what is cosine similarity?,5,davl7UFG-Ls,Can you guess the output here?,0.17270760238170624
what are transformer models?,1,8WBS0dT0h2I,Evolution of the Transformer Architecture Used in LLMs (2017–2025) – Full Course,0.6798087358474731
what are transformer models?,2,7o1jpvapaT0,Building a Vision Transformer Model from Scratch with PyTorch,0.4830484390258789
what are transformer models?,3,tfpGS_doPvY,Deep Learning Vision Architectures Explained – Python Course on CNNs and Vision Transformers,0.4739229381084442
what are transformer models?,4,kRv2ElPNAdY,From RNNs to Transformers: The Complete Neural Machine Translation Journey,0.4722285866737366
what are transformer models?,5,p3sij8QzONQ,LLMs from Scratch – Practical Engineering from Base Model to PPO RLHF,0.3348469138145447
what are sentence transformers?,1,kRv2ElPNAdY,From RNNs to Transformers: The Complete Neural Machine Translation Journey,0.4727718234062195
what are sentence transformers?,2,8WBS0dT0h2I,Evolution of the Transformer Architecture Used in LLMs (2017–2025) – Full Course,0.42264389991760254
what are sentence transformers?,3,tfpGS_doPvY,Deep Learning Vision Architectures Explained – Python Course on CNNs and Vision Transformers,0.3123113512992859
what are sentence transformers?,4,taSwtU-sldo,What happens when you spread a string in JavaScript?,0.287384957075119
what are sentence transformers?,5,UtV8MfnuIEg,"The ""this"" keyword can be confusing in JavaScript. Do you understand how this works?",0.2864840030670166
what is huggingface?,1,EzyJpHz2awM,How to make heart shapes in HTML,0.28904300928115845
what is huggingface?,2,c6IyCwAV6BY,What is the JavaScript DOM?,0.23904447257518768
what is huggingface?,3,pdleuy5lljY,Knitting and coding may not seem related - but they are,0.23050571978092194
what is huggingface?,4,YXmDMqw7dYU,The HTML blink tag was SO annoying it got binned. The more you know...,0.22048193216323853
what is huggingface?,5,wP8SiwiExBk,"What is Homebrew? It's not coffee, it's not beer, it's...a package manager!",0.1863514482975006
what is data science?,1,CMEWVn1uZpQ,Learn Python for Data Science – Full Course for Beginners,0.5868793725967407
what is data science?,2,T23Bs75F7ZQ,Data Engineering with Python and AI/LLMs – Data Loading Tutorial,0.4285009503364563
what is data science?,3,0Hd5vYqin7w,Databricks Data Engineer Associate Certification Course – Pass the Exam!,0.3904714584350586
what is data science?,4,cMOz7Tyq7aE,From freeCodeCamp to NASA with Data Engineer Joe Hill [Podcast 178],0.37209200859069824
what is data science?,5,Z_c4byLrNBU,Data Structure and Algorithm Patterns for LeetCode Interviews – Tutorial,0.33513277769088745
what is pandas in python?,1,KUbbb0T1YZ8,Have you ever wondered where Python got its name?,0.4961085915565491
what is pandas in python?,2,CMEWVn1uZpQ,Learn Python for Data Science – Full Course for Beginners,0.4231913089752197
what is pandas in python?,3,VDFRpjQVaME,College Calculus – Full Course with Python Code,0.356095552444458
what is pandas in python?,4,9KnVcWXUL8w,How to remove a list item by its value in Python,0.33783259987831116
what is pandas in python?,5,TFhGTw4RXI4,How to insert list items at a specific index in Python,0.33161380887031555
what is numpy used for?,1,KUbbb0T1YZ8,Have you ever wondered where Python got its name?,0.23838165402412415
what is numpy used for?,2,DosHnyq78xY,Intro to MCP Servers – Model Context Protocol with Python Course,0.2128174751996994
what is numpy used for?,3,7o1jpvapaT0,Building a Vision Transformer Model from Scratch with PyTorch,0.19745586812496185
what is numpy used for?,4,9q24hqwm4QM,From laser-etching microchips to rediscovering a love of coding,0.1972903609275818
what is numpy used for?,5,rhCiuu4AW_w,VGG From Scratch – Deep Learning Theory & PyTorch Implementation (Full Course),0.19188013672828674
what is scikit-learn?,1,rhCiuu4AW_w,VGG From Scratch – Deep Learning Theory & PyTorch Implementation (Full Course),0.4197104573249817
what is scikit-learn?,2,voPcxCFMbbM,How to teach yourself programming with GitHub's Andrea Griffiths [Podcast 199],0.3967984914779663
what is scikit-learn?,3,bB5eA7vU9W8,Learn Notion – Full Course for Beginners,0.3856450319290161
what is scikit-learn?,4,LrPhWAGYhlI,From fast food worker to cybersecurity engineer with Tae'lur Alexis [Podcast 169],0.3653436601161957
what is scikit-learn?,5,CMEWVn1uZpQ,Learn Python for Data Science – Full Course for Beginners,0.3600977659225464
what is data preprocessing?,1,BrBMM2gIQN8,Prepping for interviews? Here are some practical tips to help you out.,0.3771827816963196
what is data preprocessing?,2,T23Bs75F7ZQ,Data Engineering with Python and AI/LLMs – Data Loading Tutorial,0.3630210757255554
what is data preprocessing?,3,CMEWVn1uZpQ,Learn Python for Data Science – Full Course for Beginners,0.3502795696258545
what is data preprocessing?,4,Z_c4byLrNBU,Data Structure and Algorithm Patterns for LeetCode Interviews – Tutorial,0.3131777048110962
what is data preprocessing?,5,56Hv0LDjtWM,Why humans are still necessary in the technical writing and research process,0.2725120782852173
what is exploratory data analysis?,1,Z_c4byLrNBU,Data Structure and Algorithm Patterns for LeetCode Interviews – Tutorial,0.4044801592826843
what is exploratory data analysis?,2,ku6HZ_k9qgY,Why Algorithms Work – Algorithm Analysis Deep Dive Course,0.3385826349258423
what is exploratory data analysis?,3,26ls5lNiijk,Relational Database Design – Full Course,0.319100022315979
what is exploratory data analysis?,4,NdeeSEknp58,"Relational DBMS Course – Database Concepts, Design & Querying Tutorial",0.3104671239852905
what is exploratory data analysis?,5,CMEWVn1uZpQ,Learn Python for Data Science – Full Course for Beginners,0.28167039155960083
what is data visualization in python?,1,XSJD5ay1D_8,Data Viz w/ Svelte and D3 Tutorial – Custom and Interactive Data Visualization,0.49366649985313416
what is data visualization in python?,2,CMEWVn1uZpQ,Learn Python for Data Science – Full Course for Beginners,0.48498669266700745
what is data visualization in python?,3,T23Bs75F7ZQ,Data Engineering with Python and AI/LLMs – Data Loading Tutorial,0.41851916909217834
what is data visualization in python?,4,tfpGS_doPvY,Deep Learning Vision Architectures Explained – Python Course on CNNs and Vision Transformers,0.37295156717300415
what is data visualization in python?,5,KUbbb0T1YZ8,Have you ever wondered where Python got its name?,0.356536865234375
what is a dataset?,1,CMEWVn1uZpQ,Learn Python for Data Science – Full Course for Beginners,0.37098750472068787
what is a dataset?,2,T23Bs75F7ZQ,Data Engineering with Python and AI/LLMs – Data Loading Tutorial,0.3558242917060852
what is a dataset?,3,XSJD5ay1D_8,Data Viz w/ Svelte and D3 Tutorial – Custom and Interactive Data Visualization,0.2864731550216675
what is a dataset?,4,Z_c4byLrNBU,Data Structure and Algorithm Patterns for LeetCode Interviews – Tutorial,0.28089451789855957
what is a dataset?,5,0Hd5vYqin7w,Databricks Data Engineer Associate Certification Course – Pass the Exam!,0.2686139941215515
what is feature engineering?,1,zfUP1tIC64o,"Some upcoming features for freeCodeCamp - Tom talks about daily coding challenges, streaks, & more.",0.3077686131000519
what is feature engineering?,2,p3sij8QzONQ,LLMs from Scratch – Practical Engineering from Base Model to PPO RLHF,0.3000012934207916
what is feature engineering?,3,ojkbIKjRLIM,The challenges of turning a powerful braille learning prototype into real hardware,0.2897583544254303
what is feature engineering?,4,MdEexYakkHw,"How can you, as a dev, get the most out of AI tools?",0.27859336137771606
what is feature engineering?,5,C7UI_4jIGSQ,Senior Playstation Engineer's tips for learning new tools and getting things done [Podcast 184],0.27435994148254395
what is model evaluation?,1,FAKgFhWX8pQ,"This looks simple, but can you predict the output?",0.3048281669616699
what is model evaluation?,2,H-oCV5brtU4,Intro to Fine-Tuning Large Language Models,0.281247615814209
what is model evaluation?,3,7G9q_5q82hY,How to Benchmark Embedding Models On Your Own Data,0.26821544766426086
what is model evaluation?,4,fQ51cM44o7I,What does a double !! do in code?,0.2639855146408081
what is model evaluation?,5,Sk72ZCDAEsk,How a colleague helped Santosh realize he was performing at a higher level at work than his title,0.23034560680389404
