Model,Metric,Query,Expected Video,Retrieved Rank
MultiQA,cityblock,What is object oriented programming in Java,taI7G6U29L8,10
MultiQA,cityblock,What are 2D arrays in Java,P_iOnmdww8E,35
MultiQA,cityblock,What is Python programming,Pg0aoSbrqOE,146
MultiQA,cityblock,What are Python projects for beginners,wsTSREgCE5E,110
MultiQA,cityblock,How to build a weather app in Python,hx_DRanBRRM,211
MultiQA,cityblock,What is React JS,ZD7CB6wKg8A,55
MultiQA,cityblock,What is async await in JavaScript,LN45TyPWAAg,124
MultiQA,chebyshev,What are NumPy data types,fPopFeqw5sk,1
MultiQA,chebyshev,What are important NumPy functions,81i_uSX9Vic,1
MultiQA,chebyshev,What are Python iterators,k0D3MQwLn7A,3
MultiQA,chebyshev,What are Python generators,ZBlxaXMN_hU,1
MultiQA,chebyshev,What is Matplotlib in Python,c9vhHUGdav0,1
MultiQA,chebyshev,How to customize Matplotlib plots,hunq_UOdmoo,2
MultiQA,chebyshev,What is a Pandas DataFrame,OUnnuKHbmbU,1
MultiQA,chebyshev,What is NumPy slicing,6WaBryk4fkE,1
MultiQA,chebyshev,How to convert decimal to hexadecimal,mjiHc965UME,1
MultiQA,chebyshev,What is the binary number system,aMME_rYkoOU,56
MultiQA,chebyshev,What are arrays in C programming,tg5Wv9Ba1lI,61
MultiQA,chebyshev,What is dynamic memory allocation in C,J6qXny_UAK4,150
MultiQA,chebyshev,How to read files in C,ZwSyuqbeN0c,97
MultiQA,chebyshev,What are for loops in C,rUXjvybSPWc,31
MultiQA,chebyshev,What are function prototypes in C,eIlcl-mt3tg,8
MultiQA,chebyshev,What is a switch statement in C,Jx12Vf0VxmY,23
MultiQA,chebyshev,What is Java multithreading,y4siEcxgOpM,62
MultiQA,chebyshev,What are Java anonymous classes,6Hk2aE_SRzY,46
MultiQA,chebyshev,How to write files in Java,Z5smVeUVNFU,147
MultiQA,chebyshev,What is Java ArrayList,zdAggA1q0eo,66
MultiQA,chebyshev,What are Java getters and setters,NEj2H7SoTzQ,207
MultiQA,chebyshev,What is method overriding in Java,NtlSzRWhaOc,74
MultiQA,chebyshev,What are constructors in Java,wt194lO5kKE,70
MultiQA,chebyshev,What is object oriented programming in Java,taI7G6U29L8,6
MultiQA,chebyshev,What are 2D arrays in Java,P_iOnmdww8E,25
MultiQA,chebyshev,What is Python programming,Pg0aoSbrqOE,100
MultiQA,chebyshev,What are Python projects for beginners,wsTSREgCE5E,99
MultiQA,chebyshev,How to build a weather app in Python,hx_DRanBRRM,124
MultiQA,chebyshev,What is React JS,ZD7CB6wKg8A,33
MultiQA,chebyshev,What is async await in JavaScript,LN45TyPWAAg,169
